ObjectID,PropertyID,PropertyValue,SourceID,TimeStamp
59KKA2265_4_oblique_02042015_1639 (11)_1.jpg,IsHouse,1,75.157.128.88,null
59KKA2265_4_oblique_02042015_1639 (12)_1.jpg,IsHouse,0,75.157.128.88,null
59KKA2265_4_oblique_02042015_1639 (13)_0.jpg,IsHouse,0,75.157.128.88,null
59KKA2265_4_oblique_02042015_1639 (13)_3.jpg,IsHouse,1,75.157.128.88,null
59KKA2065_1_oblique_02042015_1315 (9)_2.jpg,IsHouse,1,75.157.128.88,null
59KKA2265_4_oblique_02042015_1639 (1)_1.jpg,IsHouse,1,75.157.128.88,null
59KKA2265_4_oblique_02042015_1639 (1)_3.jpg,IsHouse,0,75.157.128.88,null
59KKA2265_4_oblique_02042015_1639 (10)_2.jpg,IsHouse,1,75.157.128.88,null
59KKA2265_4_oblique_02042015_1639 (11)_0.jpg,IsHouse,1,75.157.128.88,null
59KKA2265_4_oblique_02042015_1639 (11)_3.jpg,IsHouse,1,75.157.128.88,null
59KKA2265_4_oblique_02042015_1639 (13)_2.jpg,IsHouse,1,75.157.128.88,null
59KKA2265_4_oblique_02042015_1639 (14)_1.jpg,IsHouse,1,75.157.128.88,null
59KKA2065_1_oblique_02042015_1315 (11)_0.jpg,IsHouse,0,162.72.153.39,null
59KKA2265_4_oblique_02042015_1639 (15)_1.jpg,IsHouse,1,75.157.128.88,null
59KKA2065_1_oblique_02042015_1315 (11)_2.jpg,IsHouse,0,162.72.153.39,null
59KKA2065_1_oblique_02042015_1315 (11)_3.jpg,IsHouse,0,162.72.153.39,null
59KKA2065_1_oblique_02042015_1315 (12)_0.jpg,IsHouse,0,162.72.153.39,null
59KKA2265_4_oblique_02042015_1639 (12)_0.jpg,IsHouse,1,75.157.128.88,null
59KKA2265_4_oblique_02042015_1639 (12)_2.jpg,IsHouse,1,75.157.128.88,null
59KKA2265_4_oblique_02042015_1639 (12)_3.jpg,IsHouse,1,75.157.128.88,null
59KKA2265_4_oblique_02042015_1639 (13)_1.jpg,IsHouse,0,75.157.128.88,null
59KKA2265_4_oblique_02042015_1639 (14)_2.jpg,IsHouse,1,75.157.128.88,null
59KKA2265_4_oblique_02042015_1639 (15)_0.jpg,IsHouse,0,75.157.128.88,null
59KKA2065_1_oblique_02042015_1315 (11)_1.jpg,IsHouse,0,162.72.153.39,null
59KKA2065_1_oblique_02042015_1315 (11)_0.jpg,IsHouse,0,99.177.188.134,null
59KKA2265_4_oblique_02042015_1639 (14)_0.jpg,IsHouse,1,75.157.128.88,null
59KKA2265_4_oblique_02042015_1639 (14)_3.jpg,IsHouse,1,75.157.128.88,null
59KKA2065_1_oblique_02042015_1315 (11)_1.jpg,IsHouse,1,99.177.188.134,null
59KKA2265_4_oblique_02042015_1639 (16)_0.jpg,IsHouse,0,75.157.128.88,null
59KKA2265_4_oblique_02042015_1639 (16)_1.jpg,IsHouse,1,75.157.128.88,null
59KKA2265_4_oblique_02042015_1639 (17)_0.jpg,IsHouse,0,75.157.128.88,null
59KKA2065_1_oblique_02042015_1315 (12)_2.jpg,IsHouse,0,99.177.188.134,null
59KKA2265_4_oblique_02042015_1639 (15)_2.jpg,IsHouse,1,75.157.128.88,null
59KKA2265_4_oblique_02042015_1639 (15)_3.jpg,IsHouse,1,75.157.128.88,null
59KKA2265_4_oblique_02042015_1639 (17)_2.jpg,IsHouse,0,75.157.128.88,null
59KKA2065_1_oblique_02042015_1315 (12)_1.jpg,IsHouse,0,99.177.188.134,null
59KKA2265_4_oblique_02042015_1639 (18)_0.jpg,IsHouse,1,75.157.128.88,null
59KKA2265_4_oblique_02042015_1639 (18)_3.jpg,IsHouse,1,75.157.128.88,null
59KKA2065_1_oblique_02042015_1315 (12)_1.jpg,IsHouse,0,162.72.153.39,null
59KKA2065_1_oblique_02042015_1315 (12)_2.jpg,IsHouse,0,162.72.153.39,null
59KKA2065_1_oblique_02042015_1315 (12)_3.jpg,IsHouse,0,162.72.153.39,null
59KKA2265_4_oblique_02042015_1639 (16)_2.jpg,IsHouse,1,75.157.128.88,null
59KKA2065_1_oblique_02042015_1315 (11)_3.jpg,IsHouse,1,99.177.188.134,null
59KKA2265_4_oblique_02042015_1639 (16)_3.jpg,IsHouse,1,75.157.128.88,null
59KKA2265_4_oblique_02042015_1639 (17)_1.jpg,IsHouse,0,75.157.128.88,null
59KKA2265_4_oblique_02042015_1639 (17)_3.jpg,IsHouse,1,75.157.128.88,null
59KKA2065_1_oblique_02042015_1315 (12)_0.jpg,IsHouse,0,99.177.188.134,null
59KKA2265_4_oblique_02042015_1639 (18)_1.jpg,IsHouse,1,75.157.128.88,null
59KKA2265_4_oblique_02042015_1639 (18)_2.jpg,IsHouse,1,75.157.128.88,null
59KKA2065_1_oblique_02042015_1315 (13)_0.jpg,IsHouse,1,99.177.188.134,null
59KKA2065_1_oblique_02042015_1315 (13)_0.jpg,IsHouse,1,76.21.177.162,null
59KKA2265_4_oblique_02042015_1639 (19)_0.jpg,IsHouse,1,75.157.128.88,null
59KKA2065_1_oblique_02042015_1315 (12)_3.jpg,IsHouse,0,92.73.174.106,null
59KKA2065_1_oblique_02042015_1315 (13)_2.jpg,IsHouse,0,92.73.174.106,null
59KKA2065_1_oblique_02042015_1315 (13)_1.jpg,IsHouse,1,99.177.188.134,null
59KKA2265_4_oblique_02042015_1639 (19)_1.jpg,IsHouse,1,75.157.128.88,null
59KKA2265_4_oblique_02042015_1639 (19)_2.jpg,IsHouse,0,75.157.128.88,null
59KKA2065_1_oblique_02042015_1315 (14)_0.jpg,IsHouse,1,92.73.174.106,null
59KKA2065_1_oblique_02042015_1315 (14)_2.jpg,IsHouse,0,92.73.174.106,null
59KKA2065_1_oblique_02042015_1315 (12)_3.jpg,IsHouse,1,99.177.188.134,null
59KKA2065_1_oblique_02042015_1315 (13)_0.jpg,IsHouse,1,92.73.174.106,null
59KKA2065_1_oblique_02042015_1315 (13)_1.jpg,IsHouse,0,92.73.174.106,null
59KKA2265_4_oblique_02042015_1639 (19)_3.jpg,IsHouse,0,75.157.128.88,null
59KKA2065_1_oblique_02042015_1315 (13)_2.jpg,IsHouse,1,76.21.177.162,null
59KKA2265_4_oblique_02042015_1639 (2)_1.jpg,IsHouse,1,75.157.128.88,null
59KKA2265_4_oblique_02042015_1639 (2)_3.jpg,IsHouse,1,75.157.128.88,null
59KKA2065_1_oblique_02042015_1315 (13)_1.jpg,IsHouse,1,109.182.235.111,null
59KKA2065_1_oblique_02042015_1315 (13)_1.jpg,IsHouse,1,76.21.177.162,null
59KKA2065_1_oblique_02042015_1315 (13)_3.jpg,IsHouse,1,92.73.174.106,null
59KKA2265_4_oblique_02042015_1639 (2)_0.jpg,IsHouse,1,75.157.128.88,null
59KKA2065_1_oblique_02042015_1315 (14)_1.jpg,IsHouse,1,92.73.174.106,null
59KKA2065_1_oblique_02042015_1315 (13)_3.jpg,IsHouse,1,76.21.177.162,null
59KKA2065_1_oblique_02042015_1315 (15)_0.jpg,IsHouse,0,92.73.174.106,null
59KKA2065_1_oblique_02042015_1315 (14)_0.jpg,IsHouse,1,76.21.177.162,null
59KKA2265_4_oblique_02042015_1639 (3)_1.jpg,IsHouse,1,75.157.128.88,null
59KKA2065_1_oblique_02042015_1315 (14)_1.jpg,IsHouse,1,76.21.177.162,null
59KKA2065_1_oblique_02042015_1315 (14)_2.jpg,IsHouse,0,76.21.177.162,null
59KKA2265_4_oblique_02042015_1639 (3)_3.jpg,IsHouse,1,75.157.128.88,null
59KKA2065_1_oblique_02042015_1315 (14)_3.jpg,IsHouse,1,92.73.174.106,null
59KKA2265_4_oblique_02042015_1639 (2)_2.jpg,IsHouse,1,75.157.128.88,null
59KKA2065_1_oblique_02042015_1315 (13)_2.jpg,IsHouse,1,109.182.235.111,null
59KKA2265_4_oblique_02042015_1639 (3)_0.jpg,IsHouse,1,75.157.128.88,null
59KKA2065_1_oblique_02042015_1315 (13)_2.jpg,IsHouse,1,99.177.188.134,null
59KKA2065_1_oblique_02042015_1315 (13)_3.jpg,IsHouse,1,109.182.235.111,null
59KKA2065_1_oblique_02042015_1315 (14)_2.jpg,IsHouse,0,94.224.110.217,null
59KKA2065_1_oblique_02042015_1315 (13)_3.jpg,IsHouse,1,99.177.188.134,null
59KKA2265_4_oblique_02042015_1639 (4)_0.jpg,IsHouse,1,75.157.128.88,null
59KKA2065_1_oblique_02042015_1315 (14)_2.jpg,IsHouse,0,99.177.188.134,null
59KKA2265_4_oblique_02042015_1639 (5)_0.jpg,IsHouse,0,75.157.128.88,null
59KKA2265_4_oblique_02042015_1639 (6)_2.jpg,IsHouse,0,75.157.128.88,null
59KKA2265_4_oblique_02042015_1639 (7)_3.jpg,IsHouse,0,75.157.128.88,null
59KKA2265_4_oblique_02042015_1639 (8)_1.jpg,IsHouse,0,75.157.128.88,null
59KKA2065_1_oblique_02042015_1315 (2)_1.jpg,IsHouse,0,65.35.41.181,null
59KKA2065_1_oblique_02042015_1315 (14)_1.jpg,IsHouse,1,109.182.235.111,null
59KKA2265_4_oblique_02042015_1639 (3)_2.jpg,IsHouse,1,75.157.128.88,null
59KKA2265_4_oblique_02042015_1639 (4)_1.jpg,IsHouse,1,75.157.128.88,null
59KKA2265_4_oblique_02042015_1639 (4)_2.jpg,IsHouse,1,75.157.128.88,null
59KKA2065_1_oblique_02042015_1315 (15)_1.jpg,IsHouse,1,99.177.188.134,null
59KKA2265_4_oblique_02042015_1639 (4)_3.jpg,IsHouse,0,75.157.128.88,null
59KKA2065_1_oblique_02042015_1315 (15)_3.jpg,IsHouse,0,76.21.177.162,null
59KKA2265_4_oblique_02042015_1639 (5)_2.jpg,IsHouse,0,75.157.128.88,null
59KKA2065_1_oblique_02042015_1315 (15)_0.jpg,IsHouse,1,76.21.177.162,null
59KKA2065_1_oblique_02042015_1315 (15)_0.jpg,IsHouse,0,76.21.177.162,null
59KKA2065_1_oblique_02042015_1315 (14)_3.jpg,IsHouse,1,82.3.62.216,null
59KKA2065_1_oblique_02042015_1315 (15)_1.jpg,IsHouse,1,76.21.177.162,null
59KKA2065_1_oblique_02042015_1315 (15)_1.jpg,IsHouse,0,76.21.177.162,null
59KKA2065_1_oblique_02042015_1315 (15)_1.jpg,IsHouse,0,99.177.188.134,null
59KKA2065_1_oblique_02042015_1315 (15)_3.jpg,IsHouse,1,76.21.177.162,null
59KKA2265_4_oblique_02042015_1639 (5)_1.jpg,IsHouse,0,75.157.128.88,null
59KKA2265_4_oblique_02042015_1639 (5)_3.jpg,IsHouse,1,75.157.128.88,null
59KKA2265_4_oblique_02042015_1639 (6)_1.jpg,IsHouse,0,75.157.128.88,null
59KKA2065_1_oblique_02042015_1315 (15)_3.jpg,IsHouse,0,99.177.188.134,null
59KKA2065_1_oblique_02042015_1315 (2)_0.jpg,IsHouse,0,99.177.188.134,null
59KKA2265_4_oblique_02042015_1639 (7)_0.jpg,IsHouse,1,75.157.128.88,null
59KKA2265_4_oblique_02042015_1639 (8)_0.jpg,IsHouse,1,75.157.128.88,null
59KKA2265_4_oblique_02042015_1639 (8)_3.jpg,IsHouse,1,75.157.128.88,null
59KKA2265_4_oblique_02042015_1639 (6)_0.jpg,IsHouse,0,75.157.128.88,null
59KKA2065_1_oblique_02042015_1315 (15)_3.jpg,IsHouse,0,99.177.188.134,null
59KKA2265_4_oblique_02042015_1639 (6)_3.jpg,IsHouse,1,75.157.128.88,null
59KKA2265_4_oblique_02042015_1639 (7)_1.jpg,IsHouse,0,75.157.128.88,null
59KKA2265_4_oblique_02042015_1639 (7)_2.jpg,IsHouse,1,75.157.128.88,null
59KKA2065_1_oblique_02042015_1315 (2)_0.jpg,IsHouse,0,99.177.188.134,null
59KKA2065_1_oblique_02042015_1315 (15)_2.jpg,IsHouse,0,65.35.41.181,null
59KKA2065_1_oblique_02042015_1315 (2)_1.jpg,IsHouse,1,99.177.188.134,null
59KKA2065_1_oblique_02042015_1315 (15)_1.jpg,IsHouse,0,82.3.62.216,null
59KKA2265_4_oblique_02042015_1639 (9)_2.jpg,IsHouse,0,75.157.128.88,null
59KKA2265_4_oblique_02042015_1639 (8)_2.jpg,IsHouse,1,75.157.128.88,null
59KKA2265_4_oblique_02042015_1639 (9)_0.jpg,IsHouse,1,75.157.128.88,null
59KKA2065_1_oblique_02042015_1315 (15)_2.jpg,IsHouse,0,82.3.62.216,null
59KKA2065_1_oblique_02042015_1315 (2)_2.jpg,IsHouse,0,65.35.41.181,null
59KKA2265_4_oblique_02042015_1639 (9)_3.jpg,IsHouse,1,75.157.128.88,null
59KKA1536_3_oblique_01042015_1133_ (1)_0.jpg,IsHouse,1,75.157.128.88,null
59KKA1536_3_oblique_01042015_1133_ (1)_1.jpg,IsHouse,0,75.157.128.88,null
59KKA2065_1_oblique_02042015_1315 (2)_0.jpg,IsHouse,0,76.21.177.162,null
59KKA2265_4_oblique_02042015_1639 (9)_1.jpg,IsHouse,1,75.157.128.88,null
59KKA1536_3_oblique_01042015_1133_ (10)_0.jpg,IsHouse,0,75.157.128.88,null
59KKA1536_3_oblique_01042015_1133_ (10)_3.jpg,IsHouse,0,75.157.128.88,null
59KKA1536_3_oblique_01042015_1133_ (2)_2.jpg,IsHouse,0,75.157.128.88,null
59KKA1536_3_oblique_01042015_1133_ (3)_2.jpg,IsHouse,1,75.157.128.88,null
59KKA2065_1_oblique_02042015_1315 (2)_2.jpg,IsHouse,1,82.3.62.216,null
59KKA2065_1_oblique_02042015_1315 (2)_3.jpg,IsHouse,0,76.21.177.162,null
59KKA1536_3_oblique_01042015_1133_ (4)_1.jpg,IsHouse,0,75.157.128.88,null
59KKA1536_3_oblique_01042015_1133_ (4)_3.jpg,IsHouse,0,75.157.128.88,null
59KKA1536_3_oblique_01042015_1133_ (5)_1.jpg,IsHouse,0,75.157.128.88,null
59KKA1536_3_oblique_01042015_1133_ (6)_1.jpg,IsHouse,0,75.157.128.88,null
59KKA1536_3_oblique_01042015_1133_ (8)_0.jpg,IsHouse,0,75.157.128.88,null
59KKA2065_1_oblique_02042015_1315 (4)_0.jpg,IsHouse,0,81.57.56.76,null
59KKA1536_3_oblique_01042015_1133_ (1)_2.jpg,IsHouse,1,75.157.128.88,null
59KKA2065_1_oblique_02042015_1315 (2)_0.jpg,IsHouse,1,76.21.177.162,null
59KKA1536_3_oblique_01042015_1133_ (10)_2.jpg,IsHouse,0,75.157.128.88,null
59KKA1536_3_oblique_01042015_1133_ (2)_1.jpg,IsHouse,0,75.157.128.88,null
59KKA1536_3_oblique_01042015_1133_ (3)_0.jpg,IsHouse,0,75.157.128.88,null
59KKA1536_3_oblique_01042015_1133_ (4)_2.jpg,IsHouse,0,75.157.128.88,null
59KKA1536_3_oblique_01042015_1133_ (5)_2.jpg,IsHouse,0,75.157.128.88,null
59KKA1536_3_oblique_01042015_1133_ (6)_0.jpg,IsHouse,0,75.157.128.88,null
59KKA2065_1_oblique_02042015_1315 (3)_0.jpg,IsHouse,1,81.57.56.76,null
59KKA2065_1_oblique_02042015_1315 (2)_3.jpg,IsHouse,1,82.3.62.216,null
59KKA1536_3_oblique_01042015_1133_ (6)_3.jpg,IsHouse,1,75.157.128.88,null
59KKA1536_3_oblique_01042015_1133_ (1)_3.jpg,IsHouse,1,75.157.128.88,null
59KKA1536_3_oblique_01042015_1133_ (10)_1.jpg,IsHouse,0,75.157.128.88,null
59KKA1536_3_oblique_01042015_1133_ (2)_0.jpg,IsHouse,1,75.157.128.88,null
59KKA1536_3_oblique_01042015_1133_ (2)_3.jpg,IsHouse,0,75.157.128.88,null
59KKA1536_3_oblique_01042015_1133_ (3)_1.jpg,IsHouse,0,75.157.128.88,null
59KKA1536_3_oblique_01042015_1133_ (3)_3.jpg,IsHouse,0,75.157.128.88,null
59KKA1536_3_oblique_01042015_1133_ (4)_0.jpg,IsHouse,1,75.157.128.88,null
59KKA2065_1_oblique_02042015_1315 (2)_3.jpg,IsHouse,1,76.21.177.162,null
59KKA2065_1_oblique_02042015_1315 (3)_1.jpg,IsHouse,1,76.21.177.162,null
59KKA2065_1_oblique_02042015_1315 (3)_1.jpg,IsHouse,0,76.21.177.162,null
59KKA1536_3_oblique_01042015_1133_ (5)_0.jpg,IsHouse,1,75.157.128.88,null
59KKA1536_3_oblique_01042015_1133_ (5)_3.jpg,IsHouse,0,75.157.128.88,null
59KKA1536_3_oblique_01042015_1133_ (6)_2.jpg,IsHouse,1,75.157.128.88,null
59KKA1536_3_oblique_01042015_1133_ (7)_0.jpg,IsHouse,0,75.157.128.88,null
59KKA2065_1_oblique_02042015_1315 (3)_3.jpg,IsHouse,1,81.57.56.76,null
59KKA2065_1_oblique_02042015_1315 (4)_1.jpg,IsHouse,0,81.57.56.76,null
59KKA2065_1_oblique_02042015_1315 (2)_1.jpg,IsHouse,0,99.177.188.134,null
59KKA2065_1_oblique_02042015_1315 (4)_2.jpg,IsHouse,0,81.57.56.76,null
59KKA2065_1_oblique_02042015_1315 (4)_3.jpg,IsHouse,0,81.57.56.76,null
59KKA2065_1_oblique_02042015_1315 (5)_1.jpg,IsHouse,0,81.57.56.76,null
59KKA2065_1_oblique_02042015_1315 (3)_1.jpg,IsHouse,1,81.57.56.76,null
59KKA1536_3_oblique_01042015_1133_ (7)_1.jpg,IsHouse,0,75.157.128.88,null
59KKA1536_3_oblique_01042015_1133_ (7)_2.jpg,IsHouse,0,75.157.128.88,null
59KKA2065_1_oblique_02042015_1315 (3)_3.jpg,IsHouse,0,81.57.56.76,null
59KKA1536_3_oblique_01042015_1133_ (7)_3.jpg,IsHouse,0,75.157.128.88,null
59KKA1536_3_oblique_01042015_1133_ (8)_1.jpg,IsHouse,0,75.157.128.88,null
59KKA2065_1_oblique_02042015_1315 (4)_0.jpg,IsHouse,1,81.57.56.76,null
59KKA2065_1_oblique_02042015_1315 (4)_2.jpg,IsHouse,0,81.57.56.76,null
59KKA1536_3_oblique_01042015_1133_ (8)_3.jpg,IsHouse,0,75.157.128.88,null
59KKA1536_3_oblique_01042015_1133_ (9)_0.jpg,IsHouse,0,75.157.128.88,null
59KKA1536_3_oblique_01042015_1133_ (9)_1.jpg,IsHouse,0,75.157.128.88,null
59KKA2065_1_oblique_02042015_1315 (4)_3.jpg,IsHouse,1,81.57.56.76,null
59KKA2065_1_oblique_02042015_1315 (4)_1.jpg,IsHouse,1,81.57.56.76,null
59KKA1536_3_oblique_01042015_1133_ (8)_2.jpg,IsHouse,1,75.157.128.88,null
59KKA1536_3_oblique_01042015_1133_ (9)_2.jpg,IsHouse,0,75.157.128.88,null
59KKA1536_3_oblique_01042015_1133_ (9)_3.jpg,IsHouse,0,75.157.128.88,null
59KKA2065_1_oblique_02042015_1315 (5)_0.jpg,IsHouse,1,81.57.56.76,null
59KKA2065_1_oblique_02042015_1315 (5)_2.jpg,IsHouse,0,81.57.56.76,null
59KKA2065_1_oblique_02042015_1315 (3)_0.jpg,IsHouse,1,99.190.112.84,null
59KKA2065_1_oblique_02042015_1315 (5)_3.jpg,IsHouse,0,81.57.56.76,null
59KKA2065_1_oblique_02042015_1315 (5)_0.jpg,IsHouse,0,81.57.56.76,null
59KKA2065_1_oblique_02042015_1315 (5)_1.jpg,IsHouse,1,81.57.56.76,null
59KKA2065_1_oblique_02042015_1315 (6)_0.jpg,IsHouse,0,81.57.56.76,null
59KKA2065_1_oblique_02042015_1315 (3)_0.jpg,IsHouse,1,82.3.62.216,null
59KKA2065_1_oblique_02042015_1315 (6)_2.jpg,IsHouse,0,81.57.56.76,null
59KKA2065_1_oblique_02042015_1315 (6)_2.jpg,IsHouse,0,72.225.160.240,null
59KKA2065_1_oblique_02042015_1315 (7)_0.jpg,IsHouse,1,72.225.160.240,null
