claim_id,object_key,property_key,property_value,source_id,timestamp,parent_id,"r806: LTM (0.001,0.8,1,0.4; 0.5,0.5,0.1,0.9,0.1,0.9,500,100,9)",r806_bool
2681115,59KKA2065_1_oblique_02042015_1315 (10)_3.jpg,IsHouse,1,75.157.128.88,"",,0.0455,f
2681116,59KKA2065_1_oblique_02042015_1315 (11)_0.jpg,IsHouse,0,75.157.128.88,"",,0.0909,f
2681117,59KKA2065_1_oblique_02042015_1315 (11)_2.jpg,IsHouse,1,75.157.128.88,"",,0.0227,f
2681118,59KKA2065_1_oblique_02042015_1315 (11)_3.jpg,IsHouse,1,75.157.128.88,"",,0.0455,f
2681119,59KKA2065_1_oblique_02042015_1315 (12)_1.jpg,IsHouse,0,75.157.128.88,"",,0.2955,f
2681120,59KKA2065_1_oblique_02042015_1315 (1)_3.jpg,IsHouse,0,87.113.227.182,"",,0.1591,f
2681121,59KKA2065_1_oblique_02042015_1315 (10)_1.jpg,IsHouse,1,75.157.128.88,"",,0.1364,f
2681122,59KKA2065_1_oblique_02042015_1315 (12)_0.jpg,IsHouse,0,75.157.128.88,"",,0.2955,f
2681123,59KKA2065_1_oblique_02042015_1315 (12)_3.jpg,IsHouse,1,75.157.128.88,"",,0.0455,f
2681124,59KKA2065_1_oblique_02042015_1315 (13)_0.jpg,IsHouse,1,75.157.128.88,"",,0.4318,f
2681125,59KKA2065_1_oblique_02042015_1315 (13)_2.jpg,IsHouse,1,75.157.128.88,"",,0,f
2681126,59KKA2065_1_oblique_02042015_1315 (14)_1.jpg,IsHouse,1,75.157.128.88,"",,0.1818,f
2681127,59KKA2065_1_oblique_02042015_1315 (13)_1.jpg,IsHouse,1,75.157.128.88,"",,0.0227,f
2681128,59KKA2065_1_oblique_02042015_1315 (13)_3.jpg,IsHouse,1,75.157.128.88,"",,0.0682,f
2681129,59KKA2065_1_oblique_02042015_1315 (14)_2.jpg,IsHouse,0,75.157.128.88,"",,0.0682,f
2681130,59KKA2065_1_oblique_02042015_1315 (14)_3.jpg,IsHouse,0,75.157.128.88,"",,0.5455,t
2681131,59KKA2065_1_oblique_02042015_1315 (10)_2.jpg,IsHouse,1,87.113.227.182,"",,0,f
2681132,59KKA2065_1_oblique_02042015_1315 (15)_1.jpg,IsHouse,1,75.157.128.88,"",,0.25,f
2681133,59KKA2065_1_oblique_02042015_1315 (10)_1.jpg,IsHouse,1,87.113.227.182,"",,0.1364,f
2681134,59KKA2065_1_oblique_02042015_1315 (15)_3.jpg,IsHouse,0,75.157.128.88,"",,0.1136,f
2681135,59KKA2065_1_oblique_02042015_1315 (2)_0.jpg,IsHouse,1,75.157.128.88,"",,0.6364,t
2681136,59KKA2065_1_oblique_02042015_1315 (11)_0.jpg,IsHouse,0,87.113.227.182,"",,0.0909,f
2681137,59KKA2065_1_oblique_02042015_1315 (11)_1.jpg,IsHouse,1,87.113.227.182,"",,0,f
2681138,59KKA2065_1_oblique_02042015_1315 (11)_2.jpg,IsHouse,1,87.113.227.182,"",,0.0227,f
2681139,59KKA2065_1_oblique_02042015_1315 (10)_3.jpg,IsHouse,1,87.113.227.182,"",,0.0455,f
2681140,59KKA2065_1_oblique_02042015_1315 (2)_1.jpg,IsHouse,0,75.157.128.88,"",,0.5,f
2681141,59KKA2065_1_oblique_02042015_1315 (2)_2.jpg,IsHouse,1,75.157.128.88,"",,0,f
2681142,59KKA2065_1_oblique_02042015_1315 (2)_3.jpg,IsHouse,0,75.157.128.88,"",,0.4545,f
2681143,59KKA2065_1_oblique_02042015_1315 (3)_1.jpg,IsHouse,0,75.157.128.88,"",,0.5455,t
2681144,59KKA2065_1_oblique_02042015_1315 (3)_3.jpg,IsHouse,0,75.157.128.88,"",,0.1818,f
2681145,59KKA2065_1_oblique_02042015_1315 (4)_0.jpg,IsHouse,1,75.157.128.88,"",,0.2955,f
2681146,59KKA2065_1_oblique_02042015_1315 (3)_0.jpg,IsHouse,1,75.157.128.88,"",,0.1364,f
2681147,59KKA2065_1_oblique_02042015_1315 (7)_0.jpg,IsHouse,1,75.157.128.88,"",,0,f
2681148,59KKA2065_1_oblique_02042015_1315 (8)_1.jpg,IsHouse,0,75.157.128.88,"",,0.9545,t
2681149,59KKA2065_1_oblique_02042015_1315 (9)_0.jpg,IsHouse,1,75.157.128.88,"",,0,f
2681150,59KKA2065_1_oblique_02042015_1315 (9)_3.jpg,IsHouse,1,75.157.128.88,"",,0,f
2681151,59KKA2265_4_oblique_02042015_1639 (1)_0.jpg,IsHouse,0,75.157.128.88,"",,0,f
2681152,59KKA2265_4_oblique_02042015_1639 (10)_0.jpg,IsHouse,1,75.157.128.88,"",,0.0682,f
2681153,59KKA2265_4_oblique_02042015_1639 (11)_2.jpg,IsHouse,0,75.157.128.88,"",,0,f
2681154,59KKA2065_1_oblique_02042015_1315 (3)_2.jpg,IsHouse,1,75.157.128.88,"",,0.0227,f
2681155,59KKA2065_1_oblique_02042015_1315 (4)_1.jpg,IsHouse,1,75.157.128.88,"",,0.3409,f
2681156,59KKA2065_1_oblique_02042015_1315 (4)_2.jpg,IsHouse,1,75.157.128.88,"",,0.6818,t
2681157,59KKA2065_1_oblique_02042015_1315 (4)_3.jpg,IsHouse,1,75.157.128.88,"",,0.2273,f
2681158,59KKA2065_1_oblique_02042015_1315 (5)_0.jpg,IsHouse,1,75.157.128.88,"",,0.2955,f
2681159,59KKA2065_1_oblique_02042015_1315 (5)_1.jpg,IsHouse,1,75.157.128.88,"",,0.3182,f
2681160,59KKA2065_1_oblique_02042015_1315 (5)_2.jpg,IsHouse,1,75.157.128.88,"",,0.6818,t
2681161,59KKA2065_1_oblique_02042015_1315 (5)_3.jpg,IsHouse,0,75.157.128.88,"",,0.5682,t
2681162,59KKA2065_1_oblique_02042015_1315 (6)_0.jpg,IsHouse,1,75.157.128.88,"",,0.1136,f
2681163,59KKA2065_1_oblique_02042015_1315 (7)_1.jpg,IsHouse,0,75.157.128.88,"",,0.9318,t
2681164,59KKA2065_1_oblique_02042015_1315 (7)_3.jpg,IsHouse,1,75.157.128.88,"",,0.0227,f
2681165,59KKA2065_1_oblique_02042015_1315 (8)_2.jpg,IsHouse,1,75.157.128.88,"",,0,f
2681166,59KKA2065_1_oblique_02042015_1315 (10)_3.jpg,IsHouse,1,99.177.188.134,"",,0.0455,f
2681167,59KKA2065_1_oblique_02042015_1315 (6)_1.jpg,IsHouse,1,75.157.128.88,"",,0,f
2681168,59KKA2065_1_oblique_02042015_1315 (6)_2.jpg,IsHouse,1,75.157.128.88,"",,1,t
2681169,59KKA2065_1_oblique_02042015_1315 (6)_3.jpg,IsHouse,1,75.157.128.88,"",,0,f
2681170,59KKA2065_1_oblique_02042015_1315 (7)_2.jpg,IsHouse,1,75.157.128.88,"",,0.0682,f
2681171,59KKA2065_1_oblique_02042015_1315 (8)_0.jpg,IsHouse,0,75.157.128.88,"",,0,f
2681172,59KKA2065_1_oblique_02042015_1315 (8)_3.jpg,IsHouse,1,75.157.128.88,"",,0,f
2681173,59KKA2065_1_oblique_02042015_1315 (9)_1.jpg,IsHouse,1,75.157.128.88,"",,0,f
2681174,59KKA2265_4_oblique_02042015_1639 (1)_2.jpg,IsHouse,0,75.157.128.88,"",,0.0227,f
2681175,59KKA2265_4_oblique_02042015_1639 (10)_1.jpg,IsHouse,1,75.157.128.88,"",,0.0227,f
2681176,59KKA2265_4_oblique_02042015_1639 (10)_3.jpg,IsHouse,0,75.157.128.88,"",,0.2045,f
2681177,59KKA2265_4_oblique_02042015_1639 (11)_1.jpg,IsHouse,1,75.157.128.88,"",,0.1136,f
2681178,59KKA2265_4_oblique_02042015_1639 (12)_1.jpg,IsHouse,0,75.157.128.88,"",,0.6591,t
2681179,59KKA2265_4_oblique_02042015_1639 (13)_0.jpg,IsHouse,0,75.157.128.88,"",,0.0227,f
2681180,59KKA2265_4_oblique_02042015_1639 (13)_3.jpg,IsHouse,1,75.157.128.88,"",,0,f
2681181,59KKA2065_1_oblique_02042015_1315 (9)_2.jpg,IsHouse,1,75.157.128.88,"",,0,f
2681182,59KKA2265_4_oblique_02042015_1639 (1)_1.jpg,IsHouse,1,75.157.128.88,"",,0,f
2681183,59KKA2265_4_oblique_02042015_1639 (1)_3.jpg,IsHouse,0,75.157.128.88,"",,0.0227,f
2681184,59KKA2265_4_oblique_02042015_1639 (10)_2.jpg,IsHouse,1,75.157.128.88,"",,0.8409,t
2681185,59KKA2265_4_oblique_02042015_1639 (11)_0.jpg,IsHouse,1,75.157.128.88,"",,0.0682,f
2681186,59KKA2265_4_oblique_02042015_1639 (11)_3.jpg,IsHouse,1,75.157.128.88,"",,0.0227,f
2681187,59KKA2265_4_oblique_02042015_1639 (13)_2.jpg,IsHouse,1,75.157.128.88,"",,0.0227,f
2681188,59KKA2265_4_oblique_02042015_1639 (14)_1.jpg,IsHouse,1,75.157.128.88,"",,0.0455,f
2681189,59KKA2065_1_oblique_02042015_1315 (11)_0.jpg,IsHouse,0,162.72.153.39,"",,0.0909,f
2681190,59KKA2265_4_oblique_02042015_1639 (15)_1.jpg,IsHouse,1,75.157.128.88,"",,0.0227,f
2681191,59KKA2065_1_oblique_02042015_1315 (11)_2.jpg,IsHouse,0,162.72.153.39,"",,1,t
2681192,59KKA2065_1_oblique_02042015_1315 (11)_3.jpg,IsHouse,0,162.72.153.39,"",,0.9545,t
2681193,59KKA2065_1_oblique_02042015_1315 (12)_0.jpg,IsHouse,0,162.72.153.39,"",,0.2955,f
2681194,59KKA2265_4_oblique_02042015_1639 (12)_0.jpg,IsHouse,1,75.157.128.88,"",,0.0455,f
2681195,59KKA2265_4_oblique_02042015_1639 (12)_2.jpg,IsHouse,1,75.157.128.88,"",,0.1364,f
2681196,59KKA2265_4_oblique_02042015_1639 (12)_3.jpg,IsHouse,1,75.157.128.88,"",,0.0455,f
2681197,59KKA2265_4_oblique_02042015_1639 (13)_1.jpg,IsHouse,0,75.157.128.88,"",,1,t
2681198,59KKA2265_4_oblique_02042015_1639 (14)_2.jpg,IsHouse,1,75.157.128.88,"",,0,f
2681199,59KKA2265_4_oblique_02042015_1639 (15)_0.jpg,IsHouse,0,75.157.128.88,"",,0.0227,f
2681200,59KKA2065_1_oblique_02042015_1315 (11)_1.jpg,IsHouse,0,162.72.153.39,"",,1,t
2681201,59KKA2065_1_oblique_02042015_1315 (11)_0.jpg,IsHouse,0,99.177.188.134,"",,0.0909,f
2681202,59KKA2265_4_oblique_02042015_1639 (14)_0.jpg,IsHouse,1,75.157.128.88,"",,0.0227,f
2681203,59KKA2265_4_oblique_02042015_1639 (14)_3.jpg,IsHouse,1,75.157.128.88,"",,0.0227,f
2681204,59KKA2065_1_oblique_02042015_1315 (11)_1.jpg,IsHouse,1,99.177.188.134,"",,0,f
2681205,59KKA2265_4_oblique_02042015_1639 (16)_0.jpg,IsHouse,0,75.157.128.88,"",,0.0455,f
2681206,59KKA2265_4_oblique_02042015_1639 (16)_1.jpg,IsHouse,1,75.157.128.88,"",,0.0455,f
2681207,59KKA2265_4_oblique_02042015_1639 (17)_0.jpg,IsHouse,0,75.157.128.88,"",,0.0227,f
2681208,59KKA2065_1_oblique_02042015_1315 (12)_2.jpg,IsHouse,0,99.177.188.134,"",,0.2955,f
2681209,59KKA2265_4_oblique_02042015_1639 (15)_2.jpg,IsHouse,1,75.157.128.88,"",,0.4318,f
2681210,59KKA2265_4_oblique_02042015_1639 (15)_3.jpg,IsHouse,1,75.157.128.88,"",,0.0455,f
2681211,59KKA2265_4_oblique_02042015_1639 (17)_2.jpg,IsHouse,0,75.157.128.88,"",,0.0682,f
2681212,59KKA2065_1_oblique_02042015_1315 (12)_1.jpg,IsHouse,0,99.177.188.134,"",,0.2955,f
2681213,59KKA2265_4_oblique_02042015_1639 (18)_0.jpg,IsHouse,1,75.157.128.88,"",,1,t
2681214,59KKA2265_4_oblique_02042015_1639 (18)_3.jpg,IsHouse,1,75.157.128.88,"",,0.0455,f
2681215,59KKA2065_1_oblique_02042015_1315 (12)_1.jpg,IsHouse,0,162.72.153.39,"",,0.2955,f
2681216,59KKA2065_1_oblique_02042015_1315 (12)_2.jpg,IsHouse,0,162.72.153.39,"",,0.2955,f
2681217,59KKA2065_1_oblique_02042015_1315 (12)_3.jpg,IsHouse,0,162.72.153.39,"",,0.9773,t
2681218,59KKA2265_4_oblique_02042015_1639 (16)_2.jpg,IsHouse,1,75.157.128.88,"",,0.5909,t
2681219,59KKA2065_1_oblique_02042015_1315 (11)_3.jpg,IsHouse,1,99.177.188.134,"",,0.0455,f
2681220,59KKA2265_4_oblique_02042015_1639 (16)_3.jpg,IsHouse,1,75.157.128.88,"",,0.0227,f
2681221,59KKA2265_4_oblique_02042015_1639 (17)_1.jpg,IsHouse,0,75.157.128.88,"",,0,f
2681222,59KKA2265_4_oblique_02042015_1639 (17)_3.jpg,IsHouse,1,75.157.128.88,"",,0,f
2681223,59KKA2065_1_oblique_02042015_1315 (12)_0.jpg,IsHouse,0,99.177.188.134,"",,0.2955,f
2681224,59KKA2265_4_oblique_02042015_1639 (18)_1.jpg,IsHouse,1,75.157.128.88,"",,0,f
2681225,59KKA2265_4_oblique_02042015_1639 (18)_2.jpg,IsHouse,1,75.157.128.88,"",,0.0227,f
2681226,59KKA2065_1_oblique_02042015_1315 (13)_0.jpg,IsHouse,1,99.177.188.134,"",,0.4318,f
2681227,59KKA2065_1_oblique_02042015_1315 (13)_0.jpg,IsHouse,1,76.21.177.162,"",,0.4318,f
2681228,59KKA2265_4_oblique_02042015_1639 (19)_0.jpg,IsHouse,1,75.157.128.88,"",,0.8409,t
2681229,59KKA2065_1_oblique_02042015_1315 (12)_3.jpg,IsHouse,0,92.73.174.106,"",,0.9773,t
2681230,59KKA2065_1_oblique_02042015_1315 (13)_2.jpg,IsHouse,0,92.73.174.106,"",,1,t
2681231,59KKA2065_1_oblique_02042015_1315 (13)_1.jpg,IsHouse,1,99.177.188.134,"",,0.0227,f
2681232,59KKA2265_4_oblique_02042015_1639 (19)_1.jpg,IsHouse,1,75.157.128.88,"",,0.0227,f
2681233,59KKA2265_4_oblique_02042015_1639 (19)_2.jpg,IsHouse,0,75.157.128.88,"",,0,f
2681234,59KKA2065_1_oblique_02042015_1315 (14)_0.jpg,IsHouse,1,92.73.174.106,"",,0.3409,f
2681235,59KKA2065_1_oblique_02042015_1315 (14)_2.jpg,IsHouse,0,92.73.174.106,"",,0.0682,f
2681236,59KKA2065_1_oblique_02042015_1315 (12)_3.jpg,IsHouse,1,99.177.188.134,"",,0.0455,f
2681237,59KKA2065_1_oblique_02042015_1315 (13)_0.jpg,IsHouse,1,92.73.174.106,"",,0.4318,f
2681238,59KKA2065_1_oblique_02042015_1315 (13)_1.jpg,IsHouse,0,92.73.174.106,"",,1,t
2681239,59KKA2265_4_oblique_02042015_1639 (19)_3.jpg,IsHouse,0,75.157.128.88,"",,0.5,f
2681240,59KKA2065_1_oblique_02042015_1315 (13)_2.jpg,IsHouse,1,76.21.177.162,"",,0,f
2681241,59KKA2265_4_oblique_02042015_1639 (2)_1.jpg,IsHouse,1,75.157.128.88,"",,0.0227,f
2681242,59KKA2265_4_oblique_02042015_1639 (2)_3.jpg,IsHouse,1,75.157.128.88,"",,0.0682,f
2681243,59KKA2065_1_oblique_02042015_1315 (13)_1.jpg,IsHouse,1,109.182.235.111,"",,0.0227,f
2681244,59KKA2065_1_oblique_02042015_1315 (13)_1.jpg,IsHouse,1,76.21.177.162,"",,0.0227,f
2681245,59KKA2065_1_oblique_02042015_1315 (13)_3.jpg,IsHouse,1,92.73.174.106,"",,0.0682,f
2681246,59KKA2265_4_oblique_02042015_1639 (2)_0.jpg,IsHouse,1,75.157.128.88,"",,0.0682,f
2681247,59KKA2065_1_oblique_02042015_1315 (14)_1.jpg,IsHouse,1,92.73.174.106,"",,0.1818,f
2681248,59KKA2065_1_oblique_02042015_1315 (13)_3.jpg,IsHouse,1,76.21.177.162,"",,0.0682,f
2681249,59KKA2065_1_oblique_02042015_1315 (15)_0.jpg,IsHouse,0,92.73.174.106,"",,0.4091,f
2681250,59KKA2065_1_oblique_02042015_1315 (14)_0.jpg,IsHouse,1,76.21.177.162,"",,0.3409,f
2681251,59KKA2265_4_oblique_02042015_1639 (3)_1.jpg,IsHouse,1,75.157.128.88,"",,0.8864,t
2681252,59KKA2065_1_oblique_02042015_1315 (14)_1.jpg,IsHouse,1,76.21.177.162,"",,0.1818,f
2681253,59KKA2065_1_oblique_02042015_1315 (14)_2.jpg,IsHouse,0,76.21.177.162,"",,0.0682,f
2681254,59KKA2265_4_oblique_02042015_1639 (3)_3.jpg,IsHouse,1,75.157.128.88,"",,0.25,f
2681255,59KKA2065_1_oblique_02042015_1315 (14)_3.jpg,IsHouse,1,92.73.174.106,"",,0.5909,t
2681256,59KKA2265_4_oblique_02042015_1639 (2)_2.jpg,IsHouse,1,75.157.128.88,"",,0.0682,f
2681257,59KKA2065_1_oblique_02042015_1315 (13)_2.jpg,IsHouse,1,109.182.235.111,"",,0,f
2681258,59KKA2265_4_oblique_02042015_1639 (3)_0.jpg,IsHouse,1,75.157.128.88,"",,0.1591,f
2681259,59KKA2065_1_oblique_02042015_1315 (13)_2.jpg,IsHouse,1,99.177.188.134,"",,0,f
2681260,59KKA2065_1_oblique_02042015_1315 (13)_3.jpg,IsHouse,1,109.182.235.111,"",,0.0682,f
2681261,59KKA2065_1_oblique_02042015_1315 (14)_2.jpg,IsHouse,0,94.224.110.217,"",,0.0682,f
2681262,59KKA2065_1_oblique_02042015_1315 (13)_3.jpg,IsHouse,1,99.177.188.134,"",,0.0682,f
2681263,59KKA2265_4_oblique_02042015_1639 (4)_0.jpg,IsHouse,1,75.157.128.88,"",,0.7955,t
2681264,59KKA2065_1_oblique_02042015_1315 (14)_2.jpg,IsHouse,0,99.177.188.134,"",,0.0682,f
2681265,59KKA2265_4_oblique_02042015_1639 (5)_0.jpg,IsHouse,0,75.157.128.88,"",,0.0455,f
2681266,59KKA2265_4_oblique_02042015_1639 (6)_2.jpg,IsHouse,0,75.157.128.88,"",,0.1591,f
2681267,59KKA2265_4_oblique_02042015_1639 (7)_3.jpg,IsHouse,0,75.157.128.88,"",,0.1136,f
2681268,59KKA2265_4_oblique_02042015_1639 (8)_1.jpg,IsHouse,0,75.157.128.88,"",,0.0682,f
2681269,59KKA2065_1_oblique_02042015_1315 (2)_1.jpg,IsHouse,0,65.35.41.181,"",,0.5,f
2681270,59KKA2065_1_oblique_02042015_1315 (14)_1.jpg,IsHouse,1,109.182.235.111,"",,0.1818,f
2681271,59KKA2265_4_oblique_02042015_1639 (3)_2.jpg,IsHouse,1,75.157.128.88,"",,0.25,f
2681272,59KKA2265_4_oblique_02042015_1639 (4)_1.jpg,IsHouse,1,75.157.128.88,"",,0.2045,f
2681273,59KKA2265_4_oblique_02042015_1639 (4)_2.jpg,IsHouse,1,75.157.128.88,"",,0.1818,f
2681274,59KKA2065_1_oblique_02042015_1315 (15)_1.jpg,IsHouse,1,99.177.188.134,"",,0.25,f
2681275,59KKA2265_4_oblique_02042015_1639 (4)_3.jpg,IsHouse,0,75.157.128.88,"",,0.0682,f
2681276,59KKA2065_1_oblique_02042015_1315 (15)_3.jpg,IsHouse,0,76.21.177.162,"",,0.1136,f
2681277,59KKA2265_4_oblique_02042015_1639 (5)_2.jpg,IsHouse,0,75.157.128.88,"",,0,f
2681278,59KKA2065_1_oblique_02042015_1315 (15)_0.jpg,IsHouse,1,76.21.177.162,"",,0.4773,f
2681279,59KKA2065_1_oblique_02042015_1315 (15)_0.jpg,IsHouse,0,76.21.177.162,"",,0.4091,f
2681280,59KKA2065_1_oblique_02042015_1315 (14)_3.jpg,IsHouse,1,82.3.62.216,"",,0.5909,t
2681281,59KKA2065_1_oblique_02042015_1315 (15)_1.jpg,IsHouse,1,76.21.177.162,"",,0.25,f
2681282,59KKA2065_1_oblique_02042015_1315 (15)_1.jpg,IsHouse,0,76.21.177.162,"",,0.3409,f
2681283,59KKA2065_1_oblique_02042015_1315 (15)_1.jpg,IsHouse,0,99.177.188.134,"",,0.3409,f
2681284,59KKA2065_1_oblique_02042015_1315 (15)_3.jpg,IsHouse,1,76.21.177.162,"",,0.9091,t
2681285,59KKA2265_4_oblique_02042015_1639 (5)_1.jpg,IsHouse,0,75.157.128.88,"",,0.4318,f
2681286,59KKA2265_4_oblique_02042015_1639 (5)_3.jpg,IsHouse,1,75.157.128.88,"",,0.0455,f
2681287,59KKA2265_4_oblique_02042015_1639 (6)_1.jpg,IsHouse,0,75.157.128.88,"",,0.0909,f
2681288,59KKA2065_1_oblique_02042015_1315 (15)_3.jpg,IsHouse,0,99.177.188.134,"",,0.1136,f
2681289,59KKA2065_1_oblique_02042015_1315 (2)_0.jpg,IsHouse,0,99.177.188.134,"",,0.3409,f
2681290,59KKA2265_4_oblique_02042015_1639 (7)_0.jpg,IsHouse,1,75.157.128.88,"",,0.1136,f
2681291,59KKA2265_4_oblique_02042015_1639 (8)_0.jpg,IsHouse,1,75.157.128.88,"",,0.3864,f
2681292,59KKA2265_4_oblique_02042015_1639 (8)_3.jpg,IsHouse,1,75.157.128.88,"",,0.1364,f
2681293,59KKA2265_4_oblique_02042015_1639 (6)_0.jpg,IsHouse,0,75.157.128.88,"",,0.0682,f
2681295,59KKA2265_4_oblique_02042015_1639 (6)_3.jpg,IsHouse,1,75.157.128.88,"",,0.3864,f
2681296,59KKA2265_4_oblique_02042015_1639 (7)_1.jpg,IsHouse,0,75.157.128.88,"",,0.0909,f
2681297,59KKA2265_4_oblique_02042015_1639 (7)_2.jpg,IsHouse,1,75.157.128.88,"",,0.7727,t
2681299,59KKA2065_1_oblique_02042015_1315 (15)_2.jpg,IsHouse,0,65.35.41.181,"",,0.4545,f
2681300,59KKA2065_1_oblique_02042015_1315 (2)_1.jpg,IsHouse,1,99.177.188.134,"",,0.0682,f
2681301,59KKA2065_1_oblique_02042015_1315 (15)_1.jpg,IsHouse,0,82.3.62.216,"",,0.3409,f
2681302,59KKA2265_4_oblique_02042015_1639 (9)_2.jpg,IsHouse,0,75.157.128.88,"",,0.0682,f
2681303,59KKA2265_4_oblique_02042015_1639 (8)_2.jpg,IsHouse,1,75.157.128.88,"",,0.1818,f
2681304,59KKA2265_4_oblique_02042015_1639 (9)_0.jpg,IsHouse,1,75.157.128.88,"",,0,f
2681305,59KKA2065_1_oblique_02042015_1315 (15)_2.jpg,IsHouse,0,82.3.62.216,"",,0.4545,f
2681306,59KKA2065_1_oblique_02042015_1315 (2)_2.jpg,IsHouse,0,65.35.41.181,"",,0.9545,t
2681307,59KKA2265_4_oblique_02042015_1639 (9)_3.jpg,IsHouse,1,75.157.128.88,"",,0.1136,f
2681308,59KKA1536_3_oblique_01042015_1133_ (1)_0.jpg,IsHouse,1,75.157.128.88,"",,0.0682,f
2681309,59KKA1536_3_oblique_01042015_1133_ (1)_1.jpg,IsHouse,0,75.157.128.88,"",,0.2273,f
2681310,59KKA2065_1_oblique_02042015_1315 (2)_0.jpg,IsHouse,0,76.21.177.162,"",,0.3409,f
2681311,59KKA2265_4_oblique_02042015_1639 (9)_1.jpg,IsHouse,1,75.157.128.88,"",,0.1591,f
2681312,59KKA1536_3_oblique_01042015_1133_ (10)_0.jpg,IsHouse,0,75.157.128.88,"",,0.0909,f
2681313,59KKA1536_3_oblique_01042015_1133_ (10)_3.jpg,IsHouse,0,75.157.128.88,"",,0.0909,f
2681314,59KKA1536_3_oblique_01042015_1133_ (2)_2.jpg,IsHouse,0,75.157.128.88,"",,0.1136,f
2681315,59KKA1536_3_oblique_01042015_1133_ (3)_2.jpg,IsHouse,1,75.157.128.88,"",,0.4773,f
2681316,59KKA2065_1_oblique_02042015_1315 (2)_2.jpg,IsHouse,1,82.3.62.216,"",,0,f
2681317,59KKA2065_1_oblique_02042015_1315 (2)_3.jpg,IsHouse,0,76.21.177.162,"",,0.4545,f
2681318,59KKA1536_3_oblique_01042015_1133_ (4)_1.jpg,IsHouse,0,75.157.128.88,"",,0.1591,f
2681319,59KKA1536_3_oblique_01042015_1133_ (4)_3.jpg,IsHouse,0,75.157.128.88,"",,0.0909,f
2681320,59KKA1536_3_oblique_01042015_1133_ (5)_1.jpg,IsHouse,0,75.157.128.88,"",,0.25,f
2681321,59KKA1536_3_oblique_01042015_1133_ (6)_1.jpg,IsHouse,0,75.157.128.88,"",,0.1364,f
2681322,59KKA1536_3_oblique_01042015_1133_ (8)_0.jpg,IsHouse,0,75.157.128.88,"",,0.25,f
2681323,59KKA2065_1_oblique_02042015_1315 (4)_0.jpg,IsHouse,0,81.57.56.76,"",,0.6364,t
2681324,59KKA1536_3_oblique_01042015_1133_ (1)_2.jpg,IsHouse,1,75.157.128.88,"",,0.6818,t
2681325,59KKA2065_1_oblique_02042015_1315 (2)_0.jpg,IsHouse,1,76.21.177.162,"",,0.6364,t
2681326,59KKA1536_3_oblique_01042015_1133_ (10)_2.jpg,IsHouse,0,75.157.128.88,"",,0.0682,f
